<<<<<<< HEAD
0.1 126.9 170.03189737507702
0.1333521432163324 114.2 163.61513050361452
0.1778279410038923 103.9 157.52821832217768
0.23713737056616552 96.1 150.39674220336119
0.31622776601683794 89.6 145.0566902697408
0.4216965034285822 85.9 144.59438439841617
0.5623413251903491 84.0 144.70704994676697
0.7498942093324559 83.0 146.39349717313385
1.0 82.8 147.76088388843942
1.333521432163324 87.0 151.68113557032277
1.7782794100389228 91.051 154.61073418531151
2.371373705661655 99.168 159.85179152680303
3.1622776601683795 108.583 165.6337211218341
4.216965034285822 119.304 170.65545838447665
5.623413251903491 133.564 176.71122493129724
7.498942093324558 148.85 183.756845510917
10.0 169.15 191.02220206389197
13.33521432163324 190.8 201.74896174416324
17.78279410038923 216.85 214.87439465544924
23.71373705661655 243.2 229.49168464278432
31.622776601683793 272.154 248.1894583771797
42.169650342858226 299.9579 264.8881385536413
56.23413251903491 327.9939 280.5186557201225
74.98942093324558 358.2225 294.4643457140163
100.0 394.5942 305.341554968681
133.3521432163324 415.9942 302.5369365782196
177.82794100389228 433.58063 290.6929633927731
237.13737056616552 436.2637 270.5099607686216
316.22776601683796 419.0862 244.2620053017738
421.6965034285823 388.0714 217.42743425598564
562.341325190349 351.3191 194.84890179205655
749.8942093324558 304.6637 173.343356558292
1000.0 261.1984 154.69725205824045
1333.521432163324 215.86430000000001 135.76835969278116
1778.2794100389228 175.37800000000001 117.00128128143405
2371.373705661655 140.338 98.98932309470601
3162.2776601683795 111.3955 83.8838032306516
4216.965034285822 90.4585 70.88165191732675
5623.413251903491 71.8173 59.341959997127034
7498.942093324558 61.6291 51.567732162680024
10000.0 57.2274 46.83902472159896
=======
0.1 126.9 168.66792863315104
0.1333521432163324 114.2 162.31237849833127
0.1778279410038923 103.9 156.22967114276895
0.23713737056616552 96.1 149.05049758697427
0.31622776601683794 89.6 143.6577068121698
0.4216965034285822 85.9 143.11140336960122
0.5623413251903491 84.0 143.09845947383855
0.7498942093324559 83.0 144.60423709757376
1.0 82.8 145.78666576672336
1.333521432163324 87.0 149.4329311217278
1.7782794100389228 91.051 152.06792726387403
2.371373705661655 99.168 156.95939808662882
3.1622776601683795 108.583 162.37000494407286
4.216965034285822 119.304 167.0968227241472
5.623413251903491 133.564 172.7998753863713
7.498942093324558 148.85 179.43936123096364
10.0 169.15 186.19804733962596
13.33521432163324 190.8 196.36358223357914
17.78279410038923 216.85 208.8467861125649
23.71373705661655 243.2 222.81201308893583
31.622776601683793 272.154 240.7264406244938
42.169650342858226 299.9579 256.6820659060383
56.23413251903491 327.9939 271.59220242012384
74.98942093324558 358.2225 284.85213412668236
100.0 394.5942 295.11733514684954
133.3521432163324 415.9942 292.1964620799311
177.82794100389228 433.58063 280.54962886221386
237.13737056616552 436.2637 260.9184957062412
316.22776601683796 419.0862 235.51703424238178
421.6965034285823 388.0714 209.67654496281497
562.341325190349 351.3191 188.02620811348237
749.8942093324558 304.6637 167.44747103953114
1000.0 261.1984 149.6148319921037
1333.521432163324 215.86430000000001 131.52099764243056
1778.2794100389228 175.37800000000001 113.52658825658862
2371.373705661655 140.338 96.2231056109645
3162.2776601683795 111.3955 81.70093290565478
4216.965034285822 90.4585 69.16092599272635
5623.413251903491 71.8173 58.01740736014175
7498.942093324558 61.6291 50.500184191697855
10000.0 57.2274 45.92175660398713
>>>>>>> 655d64a6ad69d12f21d4ea02eadde43b16a47b30
