<<<<<<< HEAD
0.1 0.0 143.05423329134183
0.1333521432163324 0.0 87.20278503025048
0.1778279410038923 0.0 56.1639460361089
0.23713737056616552 0.0 41.534883716242454
0.31622776601683794 0.0 30.777555167667433
0.4216965034285822 0.0 18.51042867400386
0.5623413251903491 0.0 11.912113100323666
0.7498942093324559 0.0 6.97375426246652
1.0 0.0 4.609801921273592
1.333521432163324 0.0 2.9685371777089453
1.7782794100389228 0.0 2.0769173441634217
2.371373705661655 0.0 1.409524222512252
3.1622776601683795 0.0 0.9551350754171823
4.216965034285822 0.0 0.6861170282219441
5.623413251903491 0.0 0.49008712969468027
7.498942093324558 0.0 0.3180851975087267
10.0 0.0 0.20177949388699012
13.33521432163324 0.0 0.11811578165627339
17.78279410038923 0.0 0.06162343637564748
23.71373705661655 0.0 0.030668207349020777
31.622776601683793 0.0 0.014017786310709872
42.169650342858226 0.0 0.006714637407290254
56.23413251903491 0.0 0.0034610314371729192
74.98942093324558 0.0 0.001961550547824649
100.0 0.0 0.0013612753994128727
133.3521432163324 0.0 0.0013639414852792762
177.82794100389228 0.0 0.0018352328697027955
237.13737056616552 0.0 0.003338764550486391
316.22776601683796 0.0 0.00692369304426861
421.6965034285823 0.0 0.015048114294769793
562.341325190349 0.0 0.030320563846773587
749.8942093324558 0.0 0.05739531011822116
1000.0 0.0 0.10147315572231834
1333.521432163324 0.0 0.18829008263674887
1778.2794100389228 0.0 0.3866227177202028
2371.373705661655 0.0 0.9173546875777544
3162.2776601683795 0.0 2.0985821495313224
4216.965034285822 0.0 5.141083077537793
5623.413251903491 0.0 13.134032661934299
7498.942093324558 0.0 27.682563167868857
10000.0 0.0 45.02555136590096
=======
0.1 0.0 86.62106068913421
0.1333521432163324 0.0 52.522841021057005
0.1778279410038923 0.0 32.95780752867834
0.23713737056616552 0.0 23.23929420221466
0.31622776601683794 0.0 16.514578307633535
0.4216965034285822 0.0 9.579233568539873
0.5623413251903491 0.0 5.912799238608322
0.7498942093324559 0.0 3.2794642232546125
1.0 0.0 2.0512603144796917
1.333521432163324 0.0 1.2464203042177944
1.7782794100389228 0.0 0.8083810001052416
2.371373705661655 0.0 0.5083448900898917
3.1622776601683795 0.0 0.31837225790604284
4.216965034285822 0.0 0.21266929103632184
5.623413251903491 0.0 0.1397053439260425
7.498942093324558 0.0 0.08247941504779953
10.0 0.0 0.04720904710813082
13.33521432163324 0.0 0.02499295721367174
17.78279410038923 0.0 0.011776669004764553
23.71373705661655 0.0 0.0053561104255171535
31.622776601683793 0.0 0.002246555886955092
42.169650342858226 0.0 0.0009972826816019992
56.23413251903491 0.0 0.0004797329385529305
74.98942093324558 0.0 0.0002559499923925512
100.0 0.0 0.00016941605754311364
133.3521432163324 0.0 0.0001649354311013641
177.82794100389228 0.0 0.00022037361005443912
237.13737056616552 0.0 0.00040250014338138004
316.22776601683796 0.0 0.0008495242287421572
421.6965034285823 0.0 0.0019276203438591854
562.341325190349 0.0 0.004145664511825169
749.8942093324558 0.0 0.008542391984347326
1000.0 0.0 0.016590369211167837
1333.521432163324 0.0 0.034185195734487105
1778.2794100389228 0.0 0.07821474968351337
2371.373705661655 0.0 0.2061267550019904
3162.2776601683795 0.0 0.5259647424155827
4216.965034285822 0.0 1.4224245316464534
5623.413251903491 0.0 4.010624786297943
7498.942093324558 0.0 9.248678291254386
10000.0 0.0 16.18395369805196
>>>>>>> 655d64a6ad69d12f21d4ea02eadde43b16a47b30
